purpose,mode,asim,cube
all,all,7436953.5,8737728.603277568
all,auto,6477200,7905927.3554710355
all,nonmotor,795453.5,732250.0986994532
all,transit,164300,99551.14919994435
hbo,all,3695968,4641723.893493106
hbo,auto,3089433,4094886.878166776
hbo,nonmotor,527507,509490.98370042857
hbo,transit,79028,37346.03169982358
hbw,all,1759536.5,1711578.045027034
hbw,auto,1593186,1586412.722213044
hbw,nonmotor,111938.5,76413.48859997992
hbw,transit,54412,48751.83419965995
nhb,all,1981449,2384426.6649046107
nhb,auto,1794581,2224627.755210217
nhb,nonmotor,156008,146345.62640009134
nhb,transit,30860,13453.28329993161
